"filename", "language", "YAML", "Groovy", "Properties", "Markdown", "Dart", "JSON", "Swift", "C++", "XML", "comment", "blank", "total"
"c:\dev\Videotheque\videotheque_flutter\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\dev\Videotheque\videotheque_flutter\android\app\build.gradle", "Groovy", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82
"c:\dev\Videotheque\videotheque_flutter\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"c:\dev\Videotheque\videotheque_flutter\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"c:\dev\Videotheque\videotheque_flutter\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 1, 32
"c:\dev\Videotheque\videotheque_flutter\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 3, 17
"c:\dev\Videotheque\videotheque_flutter\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\dev\Videotheque\videotheque_flutter\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 1, 10
"c:\dev\Videotheque\videotheque_flutter\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"c:\dev\Videotheque\videotheque_flutter\android\build.gradle", "Groovy", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\dev\Videotheque\videotheque_flutter\android\gradle.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\dev\Videotheque\videotheque_flutter\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\dev\Videotheque\videotheque_flutter\android\key.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\dev\Videotheque\videotheque_flutter\android\settings.gradle", "Groovy", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\dev\Videotheque\videotheque_flutter\android\settings_aar.gradle", "Groovy", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\dev\Videotheque\videotheque_flutter\flutter_launcher_icons.yaml", "YAML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\dev\Videotheque\videotheque_flutter\flutter_native_splash.yaml", "YAML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"c:\dev\Videotheque\videotheque_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\dev\Videotheque\videotheque_flutter\lib\api\fireauthQueries.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 4, 9, 159
"c:\dev\Videotheque\videotheque_flutter\lib\api\fireconfigQueries.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\dev\Videotheque\videotheque_flutter\lib\api\firestoreQueries.dart", "Dart", 0, 0, 0, 0, 311, 0, 0, 0, 0, 9, 10, 330
"c:\dev\Videotheque\videotheque_flutter\lib\api\tmdbQueries.dart", "Dart", 0, 0, 0, 0, 119, 0, 0, 0, 0, 3, 22, 144
"c:\dev\Videotheque\videotheque_flutter\lib\components\alert_dialog_component.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\dev\Videotheque\videotheque_flutter\lib\components\divider_component.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 47
"c:\dev\Videotheque\videotheque_flutter\lib\components\skeleton_card_component.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 3, 74
"c:\dev\Videotheque\videotheque_flutter\lib\components\skeleton_carrousel_component.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\dev\Videotheque\videotheque_flutter\lib\components\skeleton_tag_component.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\dev\Videotheque\videotheque_flutter\lib\components\skeleton_textline_component.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\account_controller\account_controller.dart", "Dart", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 20, 333
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\app_controller.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\auth_controller\auth_controller.dart", "Dart", 0, 0, 0, 0, 159, 0, 0, 0, 0, 3, 17, 179
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\addtag_controller.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 10, 53
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\collection_controller.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 20, 199
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\tag_controller.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\card_controller.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\library_body_controller.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\library_controller.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 10, 42
